id,categoryId,topic,headline,body,summary,tags,readTimeSeconds,featured,relatedFactIds,themes,socialHook
jupiter-shortest-day,space,Jupiter,Jupiter's Entire Day Is Over Before You Finish a Movie,"Jupiter is the biggest planet in the solar system, yet it spins faster than any other. A full day there lasts only about 10 hours, start to finish. That blistering spin flattens the whole planet slightly, bulging it out at the middle, and it's part of what whips up Jupiter's famous striped clouds. It also powers one of the strongest magnetic fields of any planet. On Jupiter, sunrise comes around again before you've even finished a movie.",The biggest planet in the solar system also spins the fastest — a full sunrise-to-sunrise in under 10 hours.,"space,jupiter,rotation,time,astronomy",35,false,"jupiter-thousand-earths,jupiter-great-red-spot,venus-day-longer-than-year,time-relativity-observer-dependent,hinduism-karma-samsara-moksha,venus-backwards-rotation","record-extremes,gravity-and-orbits,stars-and-cosmos,energy-and-power",
jupiter-great-red-spot,space,Jupiter,The Storm Big Enough to Swallow Earth Is Quietly Dying — and No One Knows Why,"Jupiter's Great Red Spot is a storm so vast it could swallow the Earth, and it has raged for centuries. But it's shrinking. A hundred years ago it was wide enough to fit three Earths; today, barely one. It has been watched growing rounder and smaller for years, and nobody is sure why. The most famous storm in the solar system may not be around forever.","A hurricane that's raged for centuries and could once fit three Earths is shrinking, and scientists can't explain it.","space,jupiter,great-red-spot,storms",38,false,"jupiter-thousand-earths,jupiter-shortest-day,moon-ganymede-biggest,comets-shoemaker-jupiter,solar-system-galactic-year","stars-and-cosmos,counterintuitive-scale",
saturn-titan-lakes,space,Saturn,It Rains Liquid Gas on This Moon,"Titan, Saturn's largest moon, is the only place besides Earth with lakes and rivers on its surface. But they're not water — they're liquid methane and ethane. Titan even has clouds and rain, with weather cycles a bit like ours. Despite its freezing cold, scientists call it one of the most Earth-like spots in the solar system.","Titan has lakes, rivers, clouds, and rain like Earth — except every drop is liquid methane and ethane.","space,saturn,titan,lakes,astronomy",40,false,"saturn-enceladus-ocean,uranus-coldest-planet,exoplanets-strange-worlds,lakes-basins-hold-water,lakes-can-mix-vertically","stars-and-cosmos,record-extremes,extreme-temperature",
saturn-enceladus-ocean,space,Saturn,This Moon Is Spraying Its Hidden Ocean Into Space,"Saturn's little moon Enceladus seems to hide a whole ocean under its icy shell. Spacecraft spotted giant geysers spraying water out into space, likely fed by that hidden sea. Since life needs water, Enceladus is now one of the best places to search for it. A tiny frozen moon may hold a big secret.",Geysers on tiny Enceladus blast water from a buried sea straight out into the vacuum of space.,"space,saturn,enceladus,ocean,life",40,false,"saturn-titan-lakes,moon-europa-ocean,asteroids-less-mass-than-moon,deep-sea-underwater-lakes,oceans-cover-most-earth,oceans-have-hidden-landscapes","hidden-underground,stars-and-cosmos",
uranus-sideways-planet,space,Uranus,Uranus Rotates on Its Side,"Uranus is tipped over almost completely — about 98 degrees — so it rolls around the Sun on its side. A massive crash early in its history probably knocked it over. Because of the tilt, its seasons are extreme: one pole can face the Sun for years while the other sits in darkness. It's one of the oddest planets we've found.",It rolls around the Sun like a tipped-over ball.,"space,uranus,rotation,planets,astronomy",38,false,"uranus-coldest-planet,venus-backwards-rotation,venus-day-longer-than-year,seasons-earth-tilt,jupiter-thousand-earths,voyager-program-giant-planet-tour","gravity-and-orbits,stars-and-cosmos,disaster-and-catastrophe",
uranus-coldest-planet,space,Uranus,"Uranus Is the Coldest Planet, and Nobody Knows Why","Neptune sits farther from the Sun, but Uranus is actually the coldest planet in the solar system, plunging to around -371°F. That's strange because every other giant planet gives off plenty of extra heat of its own — Uranus barely gives off any, and scientists still can't fully explain why. It's an oddball in other ways too, circled by faint rings and more than two dozen small moons. For now, its missing heat remains one of the solar system's open mysteries.","It's farther from the Sun than Neptune is — yet somehow, Uranus is the colder one.","space,uranus,temperature,ice-giants,astronomy",56,false,"uranus-sideways-planet,voyager-program-giant-planet-tour,saturn-titan-lakes,heatstroke-fan-useless-above-99,atmosphere-layered,exoplanets-strange-worlds","stars-and-cosmos,record-extremes,extreme-temperature,lost-and-rediscovered",
pluto-heart-shape,space,Pluto,Pluto Has a Giant Heart on Its Surface,"When NASA's New Horizons flew past Pluto in 2015, it spotted something amazing: a giant, heart-shaped region on the surface. Scientists named it Tombaugh Regio, and it's now one of the most famous sights in the solar system. The “heart” is filled with frozen nitrogen that slowly flows and reshapes the land. Pluto went from a fuzzy dot to a living world.","A spacecraft revealed a heart of frozen ice, miles wide.","space,pluto,new-horizons,tombaugh-regio,astronomy",40,false,"pluto-blue-sky,kuiper-belt-arrokoth-red-snowman,solar-system-galactic-year,comets-shoemaker-jupiter,exoplanets-rogue-planets","stars-and-cosmos,human-body-quirks",
pluto-blue-sky,space,Pluto,Pluto Has a Blue Sky,"One of New Horizons' biggest surprises was Pluto's blue sky. Sunlight hitting tiny haze particles high above the surface gives the sky its color — a bit like on Earth. That's stunning for a world so far from the Sun. It showed that even tiny, frozen places can have surprisingly rich atmospheres.","Billions of miles from the Sun, its sky still glows blue.","space,pluto,atmosphere,new-horizons,astronomy",39,false,"pluto-heart-shape,mars-search-for-life,kuiper-belt-arrokoth-red-snowman,glaciers-flow-slowly,saturn-titan-lakes","record-extremes,color-and-light,bioluminescence-and-glow",
solar-system-galactic-year,space,Solar System,"When Dinosaurs Roamed Earth, Our Solar System Was on the Other Side of the Galaxy","It takes our solar system about 230 million years to loop once around the Milky Way. Scientists call that a “galactic year.” When dinosaurs were alive, the Sun sat in a totally different part of the galaxy. In all of Earth's history, we've made only about 20 of these loops. It shows how mind-bendingly big the galaxy is.","It takes 230 million years to loop the Milky Way once — so in all of Earth's history, we've only made about 20 laps.","space,solar-system,milky-way,time,galaxy",35,false,"solar-system-life-only-earth,solar-system-only-24-moonwalkers,asteroids-less-mass-than-moon,milky-way-no-photo,time-relativity-observer-dependent,exoplanets-rogue-planets",stars-and-cosmos,
solar-system-only-24-moonwalkers,space,Solar System,Only 24 Humans Have Ever Traveled to the Moon,"Only 24 people have ever traveled to the Moon, all during NASA's Apollo missions between 1968 and 1972. Of those, just 12 actually walked on the surface. Since the last trip in 1972, no one has gone back — or even left low Earth orbit. Twelve pairs of bootprints, and no new ones since.",And just 12 of them actually walked on it.,"space,moon,astronauts,apollo,history",36,false,"solar-system-life-only-earth,solar-system-galactic-year,moon-ganymede-biggest,golf-scotland-real-golf,time-relativity-observer-dependent,space-race-armstrong-aldrin","gravity-and-orbits,stars-and-cosmos",
solar-system-life-only-earth,space,Solar System,A Hidden Ninth Planet May Be Lurking Out There,"Far past Neptune, something massive may be hiding. A cluster of distant icy worlds all swing through space in the same strange way, as if an unseen planet is herding them with its gravity. Scientists call it Planet Nine, and it may be several times heavier than Earth. No one has ever seen it — it would be impossibly faint and far away. The hunt to find it is on.",Distant icy worlds move as if something huge is herding them — but no one has spotted it.,"space,planet-nine,solar-system,mystery",35,false,"solar-system-galactic-year,solar-system-only-24-moonwalkers,dwarf-planets-hundreds-more,red-giants-sun-future,voynich-strange-illustrations,oort-cloud-comets-before-humans","stars-and-cosmos,gravity-and-orbits,collective-behavior",
sun-billions-of-twins,space,Sun,The Sunlight on Your Skin Is Thousands of Years Old,"Light leaves the Sun's surface and reaches your eyes in about 8 minutes. But that energy was born much earlier, deep in the Sun's core. Packed in so tightly, a sliver of light can bounce around inside the Sun for tens of thousands of years before it finally escapes the surface. So the sunshine warming you today may have begun its journey before the last Ice Age.",The sunshine warming you today began its journey out of the Sun before the last Ice Age.,"space,sun,light,physics",35,false,"apollo13-explosion-lifeboat,pluto-heart-shape,red-giants-sun-future,quantum-mechanics-measurement-probabilities,apollo13-houston-misquote,quasars-angle-changes-view","energy-and-power,plants-and-botany,human-body-quirks",
kuiper-belt-arrokoth-red-snowman,space,Kuiper Belt,The Most Distant World a Spacecraft Has Ever Explored Looks Like a Squished Red Snowman,"Arrokoth is a small Kuiper Belt object made of two lobes that touch — a kind of object called a contact binary. When New Horizons flew past it on Jan. 1, 2019, the images showed something like a partly flattened red snowman. It's the most distant and most primitive object ever explored by a spacecraft.","New Horizons flew past a tiny double-lobed world far beyond Pluto, and it looked exactly like a flattened red snowman.","space,solar-system,kuiper-belt,arrokoth,new-horizons",45,false,"pluto-heart-shape,asteroids-less-mass-than-moon,red-giants-sun-future,solar-system-galactic-year,dwarf-planets-hundreds-more,pluto-blue-sky","camouflage-and-mimicry,stars-and-cosmos",
oort-cloud-comets-before-humans,space,Oort Cloud,Some Comets Last Visited Before Humans Existed,"The Oort Cloud may hold hundreds of billions, or even trillions, of icy bodies. Every so often one is disturbed and begins a long fall toward the Sun as a comet. Most known long-period comets have been seen only once in recorded history, because their orbits are so long. Some last passed through the inner solar system before our species existed. Others may never have come near the Sun since they formed.",Some comets take so long to return that humans were not around the last time they visited.,"space,solar-system,oort-cloud,comets,deep-time",50,false,"dwarf-planets-hundreds-more,comets-shoemaker-jupiter,red-giants-sun-future,climate-humidity-precipitation,solar-system-life-only-earth","stars-and-cosmos,gravity-and-orbits",
meteor-showers-tons-fall-daily,space,Meteor Showers,About 48 Tons of Space Rock Hit Earth Every Day,"Space looks empty, but Earth is constantly getting pelted. Roughly 48 tons of meteoritic material falls on the planet every single day. Almost all of it burns up high in the atmosphere as meteors before anyone notices, which is why you never feel a thing. Once in a while a chunk blazes brighter than Venus — a streak called a fireball. Earth quietly gains weight from space around the clock.","Almost all of it burns up before it reaches you — quietly, every single day.","space,meteors,earth,astronomy",45,false,"asteroids-less-mass-than-moon,exoplanets-rogue-planets,time-relativity-observer-dependent,motion-velocity-has-direction,solar-system-galactic-year,magnetism-moving-charges","stars-and-cosmos,timekeeping",
voyager-program-giant-planet-tour,space,Voyager Program,"Everything We Know Up Close About Uranus and Neptune Comes From One Flyby, Once, in 1989","Nearly everything we've seen up close of Uranus and Neptune came from a single spacecraft, decades ago. Voyager 2, launched in 1977, is still the only probe ever to fly past either planet — reaching Neptune in the summer of 1989 and never being followed. Between them, Voyager 1 and 2 toured every giant planet, 48 moons, and their rings and magnetic fields. For the two outermost giants, that one 1989 flyby is still all we have.",Voyager 2 is still the only spacecraft ever to reach either ice giant — and nothing has gone back since.,"space,voyager,uranus,neptune",45,false,"uranus-coldest-planet,uranus-sideways-planet,apollo13-earth-horizon-navigation,apollo13-explosion-lifeboat,exoplanets-rogue-planets","stars-and-cosmos,flight-and-aviation,exploration-and-navigation",
moon-volcanoes-io,space,Moons,One Moon Has Hundreds of Active Volcanoes,"Jupiter's moon Io is the most volcanic world in the solar system. Jupiter and its other moons constantly squeeze and stretch Io, heating its insides until hundreds of volcanoes erupt. Some blasts fling material hundreds of miles into space. Its surface is always changing, painted in yellow sulfur. Io proves moons can be wild, active places.",Some eruptions shoot material hundreds of miles into space.,"space,moon,io,volcanoes",34,false,"moon-europa-ocean,moon-ganymede-biggest,asteroids-less-mass-than-moon,mount-vesuvius-population-risk,lasers-light-copy-itself,asteroids-dart-changed-orbit","stars-and-cosmos,disaster-and-catastrophe",
moon-europa-ocean,space,Moons,A Moon May Hide More Water Than Earth,"Under the icy crust of Jupiter's moon Europa lies a giant ocean — possibly holding more water than all of Earth's oceans combined. Hints of it turned up from spacecraft data and Europa's magnetic field. Since life needs water, Europa is one of the top places to search for it. Future missions hope to explore that hidden sea.",Under its ice may sit more water than all of Earth's oceans.,"space,moon,europa,ocean",35,false,"moon-ganymede-biggest,moon-volcanoes-io,saturn-enceladus-ocean,lasers-light-copy-itself,oceans-cover-most-earth,data-centers-avoid-downtime","stars-and-cosmos,computing-and-web",
moon-ganymede-biggest,space,Moons,The Largest Moon Is Bigger Than Mercury,"Jupiter's moon Ganymede is the biggest moon in the solar system — even larger than the planet Mercury. It still counts as a moon because it orbits Jupiter, not the Sun. Ganymede even has its own magnetic field and may hide an ocean under its ice. Its size blurs the line between moon and planet.","If it orbited the Sun, we might call it a planet.","space,moon,ganymede,jupiter",33,false,"moon-europa-ocean,moon-volcanoes-io,jupiter-thousand-earths,time-relativity-observer-dependent,golf-scotland-real-golf,jupiter-great-red-spot","stars-and-cosmos,record-extremes,gravity-and-orbits,counterintuitive-scale",
black-holes-light-cannot-escape,astronomy,Black Holes,"Near a Black Hole, You'd Watch the Universe Age","Black holes don't just bend space — they warp time. The closer you get, the slower your time runs compared with everyone far away. If you hovered near the edge and looked out, the rest of the universe would appear to speed up, stars racing through their lives, eons flickering past in what feels to you like minutes. Time isn't fixed. Near a black hole, the future unspools before your eyes.",Hover near the edge and the outside universe would race through its entire future before your eyes.,"astronomy,black-holes,time,relativity",38,false,"black-holes-spaghettification,quasars-angle-changes-view,stars-live-trillions-years,time-hard-to-define,hinduism-karma-samsara-moksha,relativity-redefined-space-time","relativity-and-time-warp,stars-and-cosmos,motion-and-force",
black-holes-spaghettification,astronomy,Black Holes,Spaghettification Is a Real Scientific Term,"If you fell toward certain black holes, you'd be ""spaghettified."" Near a black hole, gravity pulls much harder on the closer side of an object than the far side. That stretches it long and thin while squeezing it narrow — like a strand of spaghetti. The funny name describes a very real effect. It's one of the strangest predictions in Einstein's theory of gravity.",Get too close and gravity stretches you into a strand of pasta.,"astronomy,black-holes,spaghettification,gravity,physics",40,false,"black-holes-light-cannot-escape,quasars-angle-changes-view,milky-way-andromeda-collision,gravity-weak-universe-shaping,combustion-oxygen-reaction,motion-acceleration-changing-velocity","gravity-and-orbits,stars-and-cosmos",
stars-live-trillions-years,astronomy,Stars,Not a Single One of These Stars Has Ever Died — The Universe Isn't Old Enough Yet,"Small red dwarf stars burn their fuel very slowly, so they can last for trillions of years. That's far longer than the universe's current age of about 13.8 billion years. In fact, the universe is so young that no red dwarf has died yet. These stars may end up being the last ones still shining in the far future.","Red dwarf stars can burn for trillions of years, so far longer than the universe's 13.8-billion-year age that not one has ever died.","astronomy,stars,longevity,universe",34,false,"supernovae-outshine-galaxies,red-giants-sun-future,states-of-matter-plasma-fourth,baobab-nine-species,pulsars-magnetar-burst-sunlight,milky-way-no-photo","stars-and-cosmos,energy-and-power",
nebulae-eyeball,astronomy,Nebulae,A Nebula Looks Solid but Is Emptier Than Any Vacuum on Earth,"In photos, a nebula looks like a dense, glowing cloud you could scoop up in your hands. The truth is the opposite. A nebula is one of the emptiest places imaginable; even its thickest regions hold far fewer particles than the best vacuum ever created in a lab on Earth. It only looks solid because it is so enormous, stretching across many light-years, that all that wispy gas adds up along your line of sight. Fly through one and you would barely notice it.","Those glowing space clouds look thick enough to touch, yet a nebula is far emptier than the best vacuum scientists can make in a lab.","nebulae,space,vacuum,astronomy,interstellar",60,false,"quasars-angle-changes-view,webb-spf-million,vacuum-of-space-swell-not-explode,vacuum-of-space-suffocate-not-freeze,milky-way-no-photo","stars-and-cosmos,camouflage-and-mimicry,flight-and-aviation,bioluminescence-and-glow",
supernovae-outshine-galaxies,astronomy,Supernovas,Some Supernovas Outshine Entire Galaxies,"When a giant star explodes as a supernova, it can briefly shine brighter than every star in its galaxy combined. The blast releases so much energy it can be seen across the universe. The dazzling light may last only weeks, but the wreckage spreads for millions of years. Astronomers study supernovas to learn how stars live and die. So for a few weeks, the death of one star can outshine everything around it.","For a few weeks, one exploding star outshines billions of others.","astronomy,supernovas,stars,galaxy",44,false,"supernovae-create-elements,stars-live-trillions-years,milky-way-andromeda-collision,solar-system-galactic-year,states-of-matter-plasma-fourth,pulsars-sugar-cube-mountain","stars-and-cosmos,energy-and-power,collective-behavior",
supernovae-create-elements,astronomy,Supernovas,The Gold in Your Jewelry Was Forged in Dying Stars,"Gold doesn't form on Earth. The atoms in a wedding ring were forged in the violent deaths of stars — supernova explosions and collisions of dead stars — long before our planet existed. Those blasts flung heavy metals across space, and some ended up in the dust that became Earth. So the gold on your finger is older than the Sun. Every piece is recycled stardust.",Every gold ring is older than the Sun — its atoms were forged in exploding stars.,"astronomy,supernovas,gold,stardust",35,false,"supernovae-outshine-galaxies,cosmic-microwave-background-atoms-five-percent,milky-way-no-photo,exoplanets-rogue-planets,gold-metal-as-pigment","stars-and-cosmos,materials-and-chemistry",
milky-way-no-photo,astronomy,Milky Way,Nobody Has Ever Photographed the Milky Way From Outside,"We live inside the Milky Way, and no spacecraft has ever flown far enough to photograph it from outside. So how do we know its shape? Astronomers piece it together by mapping stars and gas, and by studying other galaxies that look like ours. Every picture of the Milky Way is really a careful reconstruction. It's like drawing a city while standing in the middle of it.",Every 'photo' of our galaxy is really an educated guess.,"astronomy,milky-way,photography,space",35,false,"milky-way-andromeda-collision,stars-live-trillions-years,pulsars-sugar-cube-mountain,solar-system-galactic-year,supernovae-create-elements",stars-and-cosmos,
milky-way-andromeda-collision,astronomy,Milky Way,"Two Galaxies Will Collide, and Almost Nothing Will Actually Hit","Scientists predict the Milky Way and Andromeda will merge billions of years from now — a head-on collision between two entire galaxies. But here's the twist: stars are spaced so unbelievably far apart that almost none of them will actually crash into each other. Instead, gravity will slowly braid the two galaxies together into one bigger one, no fireworks required. Computer models show the whole merger takes billions of years to finish. It's one of the most dramatic non-events in our galaxy's future.",Two galaxies will merge — yet almost no stars will actually hit.,"astronomy,andromeda,milky-way,galaxy",34,false,"milky-way-no-photo,supernovae-outshine-galaxies,black-holes-spaghettification,solar-system-galactic-year,stars-live-trillions-years","stars-and-cosmos,gravity-and-orbits,disaster-and-catastrophe,computing-and-web",
webb-spf-million,astronomy,James Webb Space Telescope,Webb's Sunshield Is Like SPF One Million,"Webb's five-layer sunshield has been compared to sunscreen with SPF one million. It blocks the Sun's heat so well that the telescope's instruments stay extremely cold. That cold is the whole point — it lets Webb detect faint heat glows from distant galaxies and planets. The hot and cold sides differ by hundreds of degrees. Without the shield, Webb couldn't do its job.",Its five-layer shield blocks the Sun like SPF one million.,"astronomy,webb,sunshield,engineering",35,false,"quasars-angle-changes-view,nebulae-eyeball,milky-way-no-photo,red-giants-sun-future,pulsars-magnetar-burst-sunlight","stars-and-cosmos,bioluminescence-and-glow,music-and-sound",
quasars-angle-changes-view,astronomy,Quasars,One Feeding Black Hole Can Outshine Its Whole Galaxy,"A quasar is a giant black hole feeding at the heart of a galaxy, and it can outshine everything around it. A single quasar can blaze brighter than its entire galaxy — hundreds of billions of stars combined. That's how we can see some of them from billions of light-years away, near the edge of the visible universe. They are the most luminous objects we know of.",That's how we can spot some of them from near the very edge of the visible universe.,"astronomy,quasars,black-holes,light",45,false,"black-holes-light-cannot-escape,black-holes-spaghettification,light-exact-speed,sun-billions-of-twins,webb-spf-million,quantum-mechanics-hilbert-space","stars-and-cosmos,human-body-quirks,bioluminescence-and-glow",
pulsars-sugar-cube-mountain,astronomy,Pulsars,A Sugar Cube of Neutron Star Stuff Weighs Like a Mountain,"Neutron star material is so dense that normal comparisons almost break down. One sugar cube of it would weigh about 1 trillion kilograms on Earth. That's roughly 1 billion tons — about the mass of a mountain. Pulsars are spinning neutron stars, so every pulse comes from one of these city-sized objects packed with extreme matter.",One tiny cube of neutron star material would weigh about as much as a mountain.,"astronomy,pulsars,neutron-stars,density,stars",42,false,"pulsars-magnetar-burst-sunlight,white-dwarfs-sun-earth-size,stars-live-trillions-years,states-of-matter-plasma-fourth,supernovae-outshine-galaxies,milky-way-no-photo","stars-and-cosmos,food-and-cuisine",
pulsars-magnetar-burst-sunlight,astronomy,Pulsars,"One Magnetar Burst Beat 100,000 Years of Sunlight","Magnetars are a special kind of neutron star with extreme magnetic fields. A normal neutron star's field is already trillions of times stronger than Earth's — but a magnetar's is another 1,000 times stronger than that. One magnetar, called SGR 1806-20, let off a huge burst in just one-tenth of a second. That single burst released more energy than the Sun had emitted in the previous 100,000 years.","One tiny starquake-like burst released more energy than the Sun had made in 100,000 years.","astronomy,pulsars,magnetars,neutron-stars,energy",50,false,"pulsars-sugar-cube-mountain,stars-live-trillions-years,red-giants-sun-future,hurricanes-tropical-cyclones,energy-capacity-to-work,oxidation-numbers-track-change","stars-and-cosmos,energy-and-power",
white-dwarfs-sun-earth-size,astronomy,White Dwarfs,A White Dwarf Packs a Sun Into Earth's Size,"A white dwarf is what's left after some stars reach the end of their lives. A typical one is about as massive as the Sun, yet only slightly bigger than Earth. That makes it one of the densest forms of matter, behind only neutron stars and black holes. It's basically a dead stellar core crushed into a planet-sized space.",A star's leftover core can hold Sun-like mass in something only a little bigger than Earth.,"astronomy,white-dwarfs,stars,stellar-remnants,density",45,false,"pulsars-sugar-cube-mountain,stars-live-trillions-years,moon-ganymede-biggest,states-of-matter-plasma-fourth,supernovae-outshine-galaxies,exoplanets-rogue-planets","stars-and-cosmos,counterintuitive-scale",
red-giants-sun-future,astronomy,Red Giants,The Sun Will Swallow the Inner Planets,"In about 5 billion years, the Sun will run low on fuel and balloon into a red giant, hundreds of times wider than it is now. As it swells, it will engulf Mercury and Venus completely and may reach all the way to Earth. Our planet will be scorched, then possibly swallowed whole. The same star that gives us life will one day consume its closest worlds.","When the Sun balloons into a red giant, Mercury and Venus are gone — and Earth may be next.","astronomy,sun,red-giant,solar-system",42,false,"stars-live-trillions-years,pulsars-magnetar-burst-sunlight,quantum-mechanics-measurement-probabilities,sun-billions-of-twins,supernovae-outshine-galaxies,asteroids-less-mass-than-moon","stars-and-cosmos,energy-and-power",
